588,587,6173.071554,15,KERNEL_WRITE,19
589,0,6173.072965,15,KERNEL_WRITE,19
590,589,6173.073059,15,KERNEL_WRITE,19
591,0,6173.074471,15,KERNEL_WRITE,19
592,591,6173.074565,15,KERNEL_WRITE,19
593,0,6173.075977,15,KERNEL_WRITE,19
594,593,6173.076071,15,KERNEL_WRITE,19
595,0,6173.077483,15,KERNEL_WRITE,19
596,595,6173.077577,15,KERNEL_WRITE,19
597,0,6173.078989,15,KERNEL_WRITE,19
598,597,6173.079083,15,KERNEL_WRITE,19
599,0,6173.080495,15,KERNEL_WRITE,19
600,599,6173.080589,15,KERNEL_WRITE,19
601,0,6173.082001,15,KERNEL_WRITE,19
602,601,6173.082095,15,KERNEL_WRITE,19
603,0,6173.083507,15,KERNEL_WRITE,19
604,603,6173.083601,15,KERNEL_WRITE,19
605,0,6173.085012,15,KERNEL_WRITE,19
606,605,6173.085107,15,KERNEL_WRITE,19
607,0,6173.086518,15,KERNEL_WRITE,19
608,607,6173.086612,15,KERNEL_WRITE,19
